osm_id|lat|lon|name
974103411|52.0638232|20.4292508|1 Maja/Baza PKS
1822002652|52.0720384|20.4361413|Marii Nietrzebki
1822002663|52.0723100|20.4410577|Parkingowa Pętla
1822002670|52.0680381|20.4409104|Kpt. Pałaca
1822002823|52.0723067|20.4409271|Parkingowa Pętla
1822002826|52.0680707|20.4410011|Kpt. Pałaca
1822002885|52.0719660|20.4360161|Marii Nietrzebki
1832529706|52.0207194|20.4810896|
1832529707|52.0245758|20.4751519|
1832529714|52.0726852|20.4195274|
1873255835|52.0307690|20.4650021|Korytów
2699768039|52.0868237|20.3833921|Plac Wolności
3024844147|52.0655362|20.4441804|F. de Girarda
3024844148|52.0657814|20.4439616|F. de Girarda
5142652671|52.0562256|20.4448178|Al. Partyzantów/PDT
5143018243|52.0542672|20.4295846|Limanowskiego/Legionów
5545026926|52.0686701|20.4297417|Spółdzielcza
5545026931|52.0686906|20.4296180|Spółdzielcza
5545026937|52.0677579|20.4361614|Skrowaczewskiego/Nietrzebki
5545026942|52.0679367|20.4347040|Skrowaczewskiego/Nietrzebki
5545026974|52.0615163|20.4484325|Żyrardów Środkowa / Limanowskiego
5545026979|52.0616598|20.4482663|Żyrardów Środkowa / Limanowskiego
5545026984|52.0590686|20.4511775|Żyrardów Środkowa / Mireckiego
5545026989|52.0589804|20.4512738|Żyrardów Środkowa / Mireckiego
5545026991|52.0566679|20.4538488|Żyrardów Środkowa / Bohaterów Warszawy
5545026996|52.0562372|20.4543278|Żyrardów Środkowa / Bohaterów Warszawy
5545027014|52.0523945|20.4471445|Żyrardów PKP
5545154934|52.0508926|20.4426926|Polskiej Organizacji Wojskowej
5545154939|52.0509458|20.4428283|Polskiej Organizacji Wojskowej
5545154947|52.0494862|20.4393264|Radziwiłłowska
5545154950|52.0484089|20.4358801|Radziwiłłowska
5545154952|52.0508947|20.4300989|Sikorskiego/Mostowa
5545154957|52.0508635|20.4301274|Sikorskiego/Mostowa
5545154959|52.0516952|20.4293815|Sikorskiego/Konarskiego
5545154965|52.0524546|20.4286962|Sikorskiego/Konarskiego
5545154967|52.0539690|20.4270819|Wittenberga k. Żabki
5545154975|52.0538174|20.4272223|Wittenberga k. Żabki
5545154982|52.0558325|20.4279288|Wittenberga
5545154988|52.0559346|20.4280012|Wittenberga
5545154993|52.0574392|20.4246391|Żeromskiego/Piastowska
5545154995|52.0576399|20.4235304|Żeromskiego/Piastowska
